
일간그래프(5분평균)
일시,수신,송신
2024.12.01 12:45:00,79704379503.99998,11267819138.18
2024.12.01 12:50:00,78310582433.26001,11305181754.789997
2024.12.01 12:55:00,78319943539.89,11445987847.350002
2024.12.01 13:00:00,79815903444.15001,11815484815.630001
2024.12.01 13:05:00,79892057800.64,11950643112.08
2024.12.01 13:10:00,83605257505.59,12167988180.61
2024.12.01 13:15:00,82975555170.95998,12270561964.03
2024.12.01 13:20:00,81259558832.03,12447389348.220003
2024.12.01 13:25:00,82281850395.79,12681891675.769999
2024.12.01 13:30:00,82517832764.64001,12803762888.109999
2024.12.01 13:35:00,84937504461.26001,13037769835.15
2024.12.01 13:40:00,84442298286.66998,13363923883.01
2024.12.01 13:45:00,85700646531.37001,13545246502.71
2024.12.01 13:50:00,85754561548.54001,13473888484.440002
2024.12.01 13:55:00,86328092634.43,13734077401.769999
2024.12.01 14:00:00,87665861758.23001,13828301002.230003
2024.12.01 14:05:00,87975656784.53,14061989851.480001
2024.12.01 14:10:00,88949805492.14,14229528900.779999
2024.12.01 14:15:00,89248527819.38,14475461665.800003
2024.12.01 14:20:00,89603222970.56,14766089639.160004
2024.12.01 14:25:00,89569338999.19002,14663971759.02
2024.12.01 14:30:00,91059382630.11002,14981117665.43
2024.12.01 14:35:00,90344144940.56,14961600977.300001
2024.12.01 14:40:00,90220577743.81,15442041494.279999
2024.12.01 14:45:00,90223081105.76001,15415153930.890001
2024.12.01 14:50:00,91109568958.36998,15424820180.86
2024.12.01 14:55:00,91595111232.72002,15847659633.470001
2024.12.01 15:00:00,93309591651.69998,16014080921.460003
2024.12.01 15:05:00,93282870736.20001,16156278911.840002
2024.12.01 15:10:00,92785728940.34,16218778993.509998
2024.12.01 15:15:00,94173476466.74,16383879618.530005
2024.12.01 15:20:00,95418862789.04999,16691156580.920002
2024.12.01 15:25:00,94743104463.26001,16645505652.67
2024.12.01 15:30:00,93717599983.84001,16848918001.3
2024.12.01 15:35:00,96268127932.66,16932424094.600004
2024.12.01 15:40:00,95879395547.90001,17122164464.52
2024.12.01 15:45:00,95174797644.38,17135732575.659998
2024.12.01 15:50:00,95946882518.07,17289165193.190002
2024.12.01 15:55:00,97363466497.65999,17446093031.18
2024.12.01 16:00:00,99583467435.17001,17766464796.91
2024.12.01 16:05:00,100696825450.72002,17889872155.510002
2024.12.01 16:10:00,101633451478.4,18160297915.16
